day,Paur_Pc,Paur_Pa,Paur_PcPa_1,Paur_PcPa_2
1,4,3.5,5.7,4.3
2,14.6,24,14.6,41.5
3,30.5,66,29,37.4
4,61.5,88,59,84
5,73.4,108,61.3,93.5
6,76,150,61.3,78.7
7,86.7,110,61.5,105
8,87.4,175,60.7,104
9,,,,
10,82.6,154,37.4,108
11,72,162,38.7,96
12,64,126,52,78
13,57.5,116,13.3,76
14,17.3,166,21.3,88.4
15,10,144,4,69.4
16,4,108,1,44.6
17,,96,0,68.7
18,,30,0,20
19,,40,0,13.3
20,,16,0,8
21,,18,0,12
22,,14,0,14.6
,,,,
27,,10,0,12
28,,14,0,12
29,,4,0,3
30,,2,0,5
31,,,0,6
32,,,0,9.3
33,,,0,4
34,,,0,1