time,parasites,immune_cells
0,1,1
0.1,1.029900005,1.0000999
0.2,1.06069401,1.000202794
0.3,1.092408745,1.000308773
0.4,1.125071738,1.000417928
0.5,1.158711341,1.000530356
0.6,1.193356755,1.000646154
0.7,1.229038051,1.000765425
0.8,1.265786201,1.000888272
0.9,1.303633102,1.001014803
1,1.342611606,1.001145128
1.1,1.382755546,1.001279363
1.2,1.424099767,1.001417624
1.3,1.466680155,1.001560033
1.4,1.51053367,1.001706715
1.5,1.555698377,1.001857798
1.6,1.602213477,1.002013415
1.7,1.650119345,1.002173702
1.8,1.699457563,1.0023388
1.9,1.750270956,1.002508854
2,1.802603627,1.002684014
2.1,1.856501001,1.002864433
2.2,1.912009858,1.00305027
2.3,1.969178379,1.003241688
2.4,2.028056184,1.003438856
2.5,2.088694377,1.003641947
2.6,2.151145589,1.00385114
2.7,2.215464024,1.00406662
2.8,2.281705509,1.004288575
2.9,2.349927536,1.004517203
3,2.42018932,1.004752704
3.1,2.492551843,1.004995286
3.2,2.56707791,1.005245163
3.3,2.643832206,1.005502557
3.4,2.722881348,1.005767694
3.5,2.804293943,1.006040809
3.6,2.888140653,1.006322143
3.7,2.974494247,1.006611946
3.8,3.063429673,1.006910474
3.9,3.155024119,1.007217992
4,3.249357079,1.007534772
4.1,3.346510424,1.007861096
4.2,3.446568471,1.008197253
4.3,3.549618061,1.008543541
4.4,3.655748626,1.00890027
4.5,3.765052275,1.009267755
4.6,3.877623868,1.009646324
4.7,3.993561101,1.010036315
4.8,4.11296459,1.010438074
4.9,4.235937959,1.010851962
5,4.362587929,1.011278346
5.1,4.49302441,1.011717609
5.2,4.627360598,1.012170143
5.3,4.765713072,1.012636353
5.4,4.908201896,1.013116658
5.5,5.05495072,1.013611487
5.6,5.206086892,1.014121286
5.7,5.361741565,1.014646512
5.8,5.522049812,1.015187637
5.9,5.687150743,1.015745151
6,5.857187625,1.016319553
6.1,6.032308007,1.016911364
6.2,6.212663846,1.017521119
6.3,6.398411642,1.018149367
6.4,6.58971257,1.018796679
6.5,6.786732624,1.019463642
6.6,6.989642755,1.020150861
6.7,7.198619025,1.02085896
6.8,7.413842756,1.021588585
6.9,7.635500688,1.022340401
7,7.86378514,1.023115094
7.1,8.09889418,1.023913372
7.2,8.341031791,1.024735967
7.3,8.590408053,1.025583632
7.4,8.847239322,1.026457146
7.5,9.111748417,1.027357314
7.6,9.384164815,1.028284963
7.7,9.66472485,1.029240952
7.8,9.953671913,1.030226163
7.9,10.25125667,1.03124151
8,10.55773727,1.032287935
8.1,10.87337958,1.033366411
8.2,11.19845741,1.034477943
8.3,11.53325274,1.03562357
8.4,11.87805597,1.036804362
8.5,12.23316619,1.038021428
8.6,12.59889141,1.039275911
8.7,12.97554885,1.040568992
8.8,13.36346519,1.041901892
8.9,13.76297688,1.043275873
9,14.1744304,1.044692237
9.1,14.5981826,1.046152333
9.2,15.03460097,1.047657552
9.3,15.48406397,1.049209333
9.4,15.94696137,1.050809163
9.5,16.42369458,1.052458582
9.6,16.91467698,1.054159177
9.7,17.42033431,1.055912595
9.8,17.941105,1.057720535
9.9,18.47744058,1.059584756
10,19.02980606,1.061507078
10.1,19.59868032,1.063489383
10.2,20.18455654,1.065533617
10.3,20.78794262,1.067641797
10.4,21.40936161,1.069816007
10.5,22.04935217,1.072058407
10.6,22.70846905,1.07437123
10.7,23.38728352,1.07675679
10.8,24.08638392,1.079217483
10.9,24.80637613,1.081755789
11,25.54788411,1.084374278
11.1,26.31155044,1.087075611
11.2,27.09803684,1.089862547
11.3,27.9080248,1.092737943
11.4,28.74221609,1.095704761
11.5,29.60133345,1.09876607
11.6,30.48612114,1.101925054
11.7,31.39734561,1.105185013
11.8,32.33579619,1.108549368
11.9,33.30228569,1.112021671
12,34.29765118,1.115605605
12.1,35.32275466,1.11930499
12.2,36.37848383,1.123123792
12.3,37.46575282,1.12706613
12.4,38.585503,1.131136277
12.5,39.73870379,1.135338672
12.6,40.92635348,1.139677924
12.7,42.14948006,1.144158824
12.8,43.40914217,1.148786346
12.9,44.70642994,1.153565663
13,46.04246595,1.15850215
13.1,47.41840621,1.163601398
13.2,48.8354411,1.168869219
13.3,50.29479645,1.174311659
13.4,51.79773451,1.179935011
13.5,53.34555511,1.18574582
13.6,54.93959671,1.191750902
13.7,56.58123757,1.197957354
13.8,58.27189691,1.204372564
13.9,60.01303614,1.211004232
14,61.80616006,1.217860378
14.1,63.65281819,1.224949362
14.2,65.55460606,1.232279901
14.3,67.51316658,1.239861082
14.4,69.5301914,1.247702385
14.5,71.60742239,1.255813702
14.6,73.74665307,1.264205356
14.7,75.94973016,1.272888122
14.8,78.21855512,1.281873255
14.9,80.55508579,1.291172508
15,82.96133799,1.300798164
15.1,85.43938723,1.310763058
15.2,87.9913705,1.321080612
15.3,90.61948802,1.33176486
15.4,93.32600508,1.342830484
15.5,96.11325397,1.354292847
15.6,98.98363592,1.366168034
15.7,101.9396231,1.378472883
15.8,104.9837607,1.391225034
15.9,108.1186689,1.404442969
16,111.3470454,1.41814606
16.1,114.6716672,1.432354616
16.2,118.0953934,1.447089941
16.3,121.6211669,1.462374385
16.4,125.2520177,1.478231403
16.5,128.9910644,1.494685625
16.6,132.8415177,1.511762916
16.7,136.8066822,1.529490452
16.8,140.8899599,1.547896793
16.9,145.094852,1.567011968
17,149.4249628,1.586867561
17.1,153.8840018,1.6074968
17.2,158.4757871,1.62893466
17.3,163.2042481,1.651217966
17.4,168.0734292,1.674385504
17.5,173.0874925,1.698478143
17.6,178.2507212,1.723538961
17.7,183.5675233,1.749613383
17.8,189.0424346,1.776749325
17.9,194.6801225,1.804997351
18,200.4853896,1.83441084
18.1,206.4631774,1.865046163
18.2,212.61857,1.896962873
18.3,218.956798,1.930223912
18.4,225.4832424,1.964895825
18.5,232.203439,2.001048999
18.6,239.1230817,2.038757907
18.7,246.2480278,2.078101381
18.8,253.5843011,2.1191629
18.9,261.1380971,2.162030894
19,268.9157873,2.206799078
19.1,276.9239232,2.253566809
19.2,285.1692412,2.302439459
19.3,293.6586675,2.353528832
19.4,302.3993223,2.4069536
19.5,311.3985246,2.462839773
19.6,320.6637973,2.521321208
19.7,330.2028718,2.582540152
19.8,340.0236927,2.64664783
19.9,350.1344231,2.713805073
20,360.543449,2.784182997
20.1,371.2593846,2.857963731
20.2,382.2910767,2.935341203
20.3,393.64761,3.016521988
20.4,405.3383115,3.101726215
20.5,417.3727555,3.19118855
20.6,429.7607679,3.285159254
20.7,442.5124309,3.383905324
20.8,455.6380871,3.48771172
20.9,469.148344,3.596882696
21,483.0540775,3.711743225
21.1,497.3664359,3.832640549
21.2,512.0968428,3.959945845
21.3,527.2570006,4.094056023
21.4,542.8588929,4.235395673
21.5,558.9147861,4.384419165
21.6,575.4372318,4.541612921
21.7,592.4390667,4.707497865
21.8,609.9334138,4.882632079
21.9,627.9336809,5.06761367
22,646.4535594,5.263083875
22.1,665.5070217,5.469730415
22.2,685.1083175,5.688291126
22.3,705.2719683,5.919557895
22.4,726.0127611,6.164380911
22.5,747.3457399,6.42367327
22.6,769.2861958,6.698415969
22.7,791.8496543,6.989663306
22.8,815.0518611,7.298548734
22.9,838.9087644,7.6262912
23,863.4364949,7.974202019
23.1,888.6513425,8.343692316
23.2,914.5697287,8.736281102
23.3,941.2081756,9.153604019
23.4,968.5832704,9.597422824
23.5,996.7116241,10.06963568
23.6,1025.609826,10.57228828
23.7,1055.294389,11.10758597
23.8,1085.781694,11.67790686
23.9,1117.087919,12.285816
24,1149.228966,12.93408084
24.1,1182.220374,13.62568795
24.2,1216.077226,14.36386114
24.3,1250.81404,15.15208117
24.4,1286.444652,15.99410701
24.5,1322.982083,16.89399905
24.6,1360.438387,17.85614414
24.7,1398.824488,18.8852828
24.8,1438.149996,19.98653869
24.9,1478.423002,21.16545059
25,1519.649852,22.42800702
25.1,1561.834895,23.78068377
25.2,1604.980205,25.23048452
25.3,1649.085272,26.78498494
25.4,1694.146668,28.45238028
25.5,1740.157669,30.24153696
25.6,1787.107844,32.16204844
25.7,1834.982607,34.22429548
25.8,1883.762721,36.43951143
25.9,1933.423755,38.81985267
26,1983.935494,41.37847466
26.1,2035.261297,44.12961404
26.2,2087.357395,47.08867709
26.3,2140.172133,50.27233502
26.4,2193.645151,53.6986265
26.5,2247.706503,57.38706796
26.6,2302.27571,61.35877186
26.7,2357.260751,65.63657366
26.8,2412.556988,70.24516771
26.9,2468.046034,75.2112524
27,2523.594563,80.56368519
27.1,2579.053069,86.33364749
27.2,2634.254594,92.55481981
27.3,2689.013419,99.26356717
27.4,2743.123756,106.4991349
27.5,2796.358451,114.3038543
27.6,2848.467733,122.7233582
27.7,2899.178041,131.8068052
27.8,2948.190978,141.6071116
27.9,2995.18243,152.18119
28,3039.801936,163.5901916
28.1,3081.672359,175.8997501
28.2,3120.389953,189.1802231
28.3,3155.524921,203.506927
28.4,3186.622572,218.9603581
28.5,3213.205194,235.626394
28.6,3234.774772,253.5964647
28.7,3250.816694,272.9676825
28.8,3260.804574,293.8429157
28.9,3264.20634,316.3307888
29,3260.491715,340.5455871
29.1,3249.141197,366.6070406
29.2,3229.656624,394.6399532
29.3,3201.573354,424.7736414
29.4,3164.474034,457.1411347
29.5,3118.003843,491.8780844
29.6,3061.887004,529.1213172
29.7,2995.944211,569.0069586
29.8,2920.1105,611.6680422
29.9,2834.452912,657.2315097
30,2739.18714,705.8144969
30.1,2634.692183,757.5197986
30.2,2521.52189,812.4304043
30.3,2400.412155,870.6030101
30.4,2272.282525,932.0604439
30.5,2138.230975,996.7829928
30.6,1999.520835,1064.698716
30.7,1857.559121,1135.672961
30.8,1713.866006,1209.497494
30.9,1570.035773,1285.879918
31,1427.69034,1364.434368
31.1,1288.427239,1444.674823
31.2,1153.76476,1526.012711
31.3,1025.087628,1607.760715
31.4,903.5970315,1689.144631
31.5,790.2689248,1769.324734
31.6,685.8241062,1847.427099
31.7,590.7127478,1922.583815
31.8,505.1147208,1993.979154
31.9,428.9554662,2060.896859
32,361.9355029,2122.762536
32.1,303.5702357,2179.175129
32.2,253.2357936,2229.92289
32.3,210.216355,2274.981952
32.4,173.748833,2314.498722
32.5,143.0617424,2348.760008
32.6,117.4063208,2378.156294
32.7,96.07923082,2403.143676
32.8,78.43722103,2424.208959
32.9,63.90482924,2441.840789
33,51.97657262,2456.508024
33.1,42.21512893,2468.645258
33.2,34.24687665,2478.644555
33.3,27.75591968,2486.852057
33.4,22.47744929,2493.568133
33.5,18.19104149,2499.049823
33.6,14.7142748,2503.514636
33.7,11.89689009,2507.144958
33.8,9.615596365,2510.092613
33.9,7.769547694,2512.48323
34,6.276467457,2514.420266
34.1,5.069368078,2515.98859
34.2,4.093801575,2517.257604
34.3,3.305572499,2518.283918
34.4,2.668846947,2519.113612
34.5,2.15459653,2519.784135
34.6,1.739322862,2520.32588
34.7,1.404015174,2520.763485
34.8,1.133300548,2521.116908
34.9,0.914752526,2521.402303
35,0.738329469,2521.632738
35.1,0.59591889,2521.81878
35.2,0.480968154,2521.96897
35.3,0.388185413,2522.090211
35.4,0.313297574,2522.188077
35.5,0.252854542,2522.267071
35.6,0.204070949,2522.330832
35.7,0.164698234,2522.382295
35.8,0.13292129,2522.423831
35.9,0.107274974,2522.457355
36,0.086576672,2522.484412
36.1,0.069871847,2522.506249
36.2,0.056390072,2522.523873
36.3,0.045509528,2522.538097
36.4,0.03672835,2522.549576
36.5,0.02964149,2522.558841
36.6,0.023922043,2522.566318
36.7,0.019306172,2522.572352
36.8,0.015580946,2522.577222
36.9,0.012574516,2522.581152
37,0.01014819,2522.584324
37.1,0.008190035,2522.586884
37.2,0.006609716,2522.58895
37.3,0.005334328,2522.590618
37.4,0.004305035,2522.591963
37.5,0.003474349,2522.593049
37.6,0.00280395,2522.593926
37.7,0.002262909,2522.594633
37.8,0.001826265,2522.595204
37.9,0.001473874,2522.595664
38,0.00118948,2522.596036
38.1,0.000959962,2522.596336
38.2,0.00077473,2522.596578
38.3,0.000625241,2522.596774
38.4,0.000504596,2522.596932
38.5,0.000407231,2522.597059
38.6,0.000328653,2522.597162
38.7,0.000265237,2522.597245
38.8,0.000214057,2522.597311
38.9,0.000172754,2522.597365
39,0.000139419,2522.597409
39.1,0.000112518,2522.597444
39.2,9.08065E-05,2522.597473
39.3,7.32847E-05,2522.597495
39.4,5.91439E-05,2522.597514
39.5,4.77317E-05,2522.597529
39.6,3.85215E-05,2522.597541
39.7,3.10885E-05,2522.597551
39.8,2.50898E-05,2522.597558
39.9,2.02485E-05,2522.597565
40,1.63414E-05,2522.59757
40.1,1.31882E-05,2522.597574
40.2,1.06435E-05,2522.597577
40.3,8.58973E-06,2522.59758
40.4,6.93228E-06,2522.597582
40.5,5.59465E-06,2522.597584
40.6,4.51512E-06,2522.597585
40.7,3.64389E-06,2522.597587
40.8,2.94078E-06,2522.597587
40.9,2.37333E-06,2522.597588
41,1.91538E-06,2522.597589
41.1,1.5458E-06,2522.597589
41.2,1.24752E-06,2522.59759
41.3,1.00681E-06,2522.59759
41.4,8.12535E-07,2522.59759
41.5,6.5575E-07,2522.59759
41.6,5.29219E-07,2522.597591
41.7,4.27102E-07,2522.597591
41.8,3.4469E-07,2522.597591
41.9,2.78179E-07,2522.597591
42,2.24503E-07,2522.597591
42.1,1.81183E-07,2522.597591
42.2,1.46223E-07,2522.597591
42.3,1.18008E-07,2522.597591
42.4,9.52375E-08,2522.597591
42.5,7.68608E-08,2522.597591
42.6,6.20299E-08,2522.597591
42.7,5.00608E-08,2522.597591
42.8,4.04012E-08,2522.597591
42.9,3.26055E-08,2522.597591
43,2.6314E-08,2522.597591
43.1,2.12366E-08,2522.597591
43.2,1.71388E-08,2522.597591
43.3,1.38318E-08,2522.597591
43.4,1.11628E-08,2522.597591
43.5,9.00888E-09,2522.597591
43.6,7.27055E-09,2522.597591
43.7,5.86765E-09,2522.597591
43.8,4.73544E-09,2522.597591
43.9,3.8217E-09,2522.597591
44,3.08428E-09,2522.597591
44.1,2.48915E-09,2522.597591
44.2,2.00885E-09,2522.597591
44.3,1.62123E-09,2522.597591
44.4,1.3084E-09,2522.597591
44.5,1.05593E-09,2522.597591
44.6,8.52184E-10,2522.597591
44.7,6.87749E-10,2522.597591
44.8,5.55043E-10,2522.597591
44.9,4.47943E-10,2522.597591
45,3.6151E-10,2522.597591
45.1,2.91754E-10,2522.597591
45.2,2.35458E-10,2522.597591
45.3,1.90024E-10,2522.597591
45.4,1.53358E-10,2522.597591
45.5,1.23766E-10,2522.597591
45.6,9.98848E-11,2522.597591
45.7,8.06113E-11,2522.597591
45.8,6.50568E-11,2522.597591
45.9,5.25036E-11,2522.597591
46,4.23727E-11,2522.597591
46.1,3.41966E-11,2522.597591
46.2,2.75981E-11,2522.597591
46.3,2.22728E-11,2522.597591
46.4,1.79751E-11,2522.597591
46.5,1.45067E-11,2522.597591
46.6,1.17075E-11,2522.597591
46.7,9.44848E-12,2522.597591
46.8,7.62533E-12,2522.597591
46.9,6.15397E-12,2522.597591
47,4.96652E-12,2522.597591
47.1,4.00819E-12,2522.597591
47.2,3.23478E-12,2522.597591
47.3,2.61061E-12,2522.597591
47.4,2.10687E-12,2522.597591
47.5,1.70034E-12,2522.597591
47.6,1.37224E-12,2522.597591
47.7,1.10746E-12,2522.597591
47.8,8.93768E-13,2522.597591
47.9,7.21309E-13,2522.597591
48,5.82127E-13,2522.597591
48.1,4.69802E-13,2522.597591
48.2,3.7915E-13,2522.597591
48.3,3.0599E-13,2522.597591
48.4,2.46947E-13,2522.597591
48.5,1.99297E-13,2522.597591
48.6,1.60841E-13,2522.597591
48.7,1.29806E-13,2522.597591
48.8,1.04759E-13,2522.597591
48.9,8.45449E-14,2522.597591
49,6.82313E-14,2522.597591
49.1,5.50656E-14,2522.597591
49.2,4.44403E-14,2522.597591
49.3,3.58652E-14,2522.597591
49.4,2.89448E-14,2522.597591
49.5,2.33597E-14,2522.597591
49.6,1.88523E-14,2522.597591
49.7,1.52146E-14,2522.597591
49.8,1.22788E-14,2522.597591
49.9,9.90954E-15,2522.597591
50,7.99742E-15,2522.597591